ID,NAME,cns e14,ovary adult,limb e14.5,whole brain e14.5,cns e11.5,cns e18,adrenal adult,thymus adult,bladder adult,lung adult,mammary gland adult,colon adult,frontal lobe adult,cerebellum adult,testis adult,spleen adult,cortex adult,subcutaneous fat pad adult,duodenum adult,genital fat pad adult,placenta adult,stomach adult,small intestine adult,kidney adult,large intestine adult,liver e14,liver e14.5,heart adult,liver e18,liver adult
22640,Zfp1,6.74128,2.76685,5.69154,6.52211,6.18257,7.56466,2.43225,3.19571,4.65483,1.66339,1.76768,1.20953,5.79513,5.22588,1.76284,2.12177,5.3711,2.45263,1.16523,4.76926,4.69525,1.13239,0.572784,2.59767,1.61455,2.19731,2.17172,1.55714,1.95226,1.38038
22643,Zfp101,4.23719,0.0721632,6.35351,2.78467,7.92845,2.57079,0.0294985,0.42412,2.38575,0.246898,0.172242,0.107018,1.48536,2.31996,0.112398,0.110904,1.5238,0.292118,0.0121551,0.274703,2.22327,0.0326053,0.0158144,0.296157,0.342096,4.61808,3.21337,0.28671,1.61218,0.124448
22646,Zfp105,4.10105,0.789376,3.42993,3.32147,6.75715,2.51534,0.208733,0.0939211,2.19306,0.592154,0.193281,0.220016,1.13585,1.6275,7.23634,0.126892,0.966182,0.525011,0.0290971,0.508164,1.16311,0.0511246,0.0849395,0.282679,0.192275,0.740189,0.610289,0.25326,0.70515,0.0274849
20402,Zfp106,11.4407,7.87682,15.2056,11.1775,15.1393,11.2375,4.55871,9.69584,15.9654,9.9921,14.8059,6.31009,16.8069,15.3417,5.10201,6.23285,16.2277,11.3237,2.98359,13.6598,12.3474,3.00303,3.99147,13.5047,8.27942,7.99367,7.12468,47.5024,6.37987,4.20193
54678,Zfp108,1.19138,0.953803,1.24924,1.25525,0.830771,1.6475,0.225635,0.146975,1.17443,0.42126,0.305303,0.35543,1.31706,1.49556,0.253417,0.0891631,1.38402,0.7672,0.171022,0.824583,0.283607,0.137309,0.0957619,0.574234,0.266504,0.156493,0.186666,0.372062,0.248619,0.263623
56869,Zfp109,1.00846,0.864475,1.37661,0.929725,1.2266,1.37654,0.302442,0.730797,1.32741,0.640344,0.437967,0.536374,1.00419,1.458,0.354145,0.30235,1.21543,0.85247,0.084373,0.606169,0.569587,0.178688,0.194222,0.722913,0.392157,0.541398,0.539621,0.326974,0.555591,0.433092
22648,Zfp11,1.90031,0.750562,1.5786,2.05278,1.57004,2.04562,0.393411,0.36574,1.30063,0.764696,0.660891,0.293071,1.37781,1.28136,0.42507,0.296595,1.27094,0.86485,0.13101,0.697989,0.653947,0.19587,0.121389,0.747586,0.35397,0.511635,0.507975,0.818539,0.391183,0.222082
65020,Zfp110,3.22546,1.92128,4.36682,3.34919,4.01245,3.74156,1.14737,3.19605,7.73033,2.88294,3.3472,1.82286,2.35415,3.2396,14.6488,2.33497,1.93656,3.48926,0.77854,4.32174,4.92771,0.963924,0.815114,2.45538,2.99444,2.84972,2.4596,2.05201,2.89963,2.12401
57745,Zfp112,0.972298,0.532104,0.883021,0.883584,0.598029,1.21494,0.291572,0.12092,1.20069,0.328278,0.318715,0.192956,1.44572,1.09356,0.112646,0.107411,1.61272,0.613018,0.0851011,0.597803,0.212555,0.098227,0.078165,0.225259,0.219062,0.148782,0.147782,0.624617,0.13365,0.0748197
56314,Zfp113,3.13687,0.842525,1.52294,2.7972,3.95284,2.0191,0.580732,0.992896,1.6521,0.792261,0.762768,0.536863,0.906276,0.828319,0.711792,0.495478,0.703524,0.847484,0.337076,0.892379,0.769394,0.31614,0.224578,0.923837,0.997699,0.715484,0.71108,0.648878,0.744056,0.531164
104349,Zfp119a,1.17263,0.404488,0.767519,0.935587,0.962486,1.15391,0.423916,0.396043,1.16666,0.475324,0.350636,0.337613,0.565046,0.687925,0.280789,0.406286,0.543082,0.39803,0.269667,0.666157,0.611202,0.23345,0.147531,0.348187,0.2772,0.424939,0.344718,0.20482,0.463344,0.291147
240120,Zfp119b,0.719027,0.180917,0.57132,0.678379,0.630321,0.715299,0.115811,0.223322,1.12386,0.284121,0.25126,0.221643,0.367525,0.534415,0.240052,0.361396,0.396278,0.263541,0.0874116,0.393797,0.420463,0.093382,0.05869,0.208448,0.205975,0.588988,0.43141,0.178057,0.79143,0.1396
231866,Zfp12,6.69853,5.9454,5.62182,6.3472,6.71292,5.68076,3.16829,5.17567,3.23634,3.54711,3.16849,2.09298,3.64601,4.56069,2.24693,2.79212,3.47375,3.65327,0.599315,2.62954,2.06057,1.0016,0.784263,2.58118,1.35878,1.00495,1.08268,1.67345,1.12116,1.18475
