ID,NAME,ovary adult,testis adult,adrenal adult,cns e14,whole brain e14.5,cns e18,limb e14.5,cns e11.5,subcutaneous fat pad adult,lung adult,colon adult,duodenum adult,cerebellum adult,mammary gland adult,placenta adult,small intestine adult,kidney adult,large intestine adult,genital fat pad adult,frontal lobe adult,bladder adult,cortex adult,stomach adult,spleen adult,thymus adult,heart adult,liver adult,liver e14,liver e14.5,liver e18
12927,Bcar1,45.961,12.2451,90.6343,26.0894,29.6551,18.8095,21.0138,18.8908,19.6825,35.1762,50.6074,66.9331,32.0862,24.7691,27.2786,67.5193,46.1484,39.7709,19.8862,9.70283,14.3408,11.7566,32.0873,9.93636,3.87863,10.1353,18.0595,3.23396,4.09244,7.34689
29815,Bcar3,10.7852,1.9611,13.0498,1.40733,1.31713,1.30579,1.87446,2.61389,13.0785,9.39615,8.68525,12.8166,2.79561,6.56012,11.4143,12.687,6.57485,13.2198,9.69807,3.01831,8.84608,2.67303,2.66814,11.1308,1.12926,1.24513,7.5137,1.46612,1.6214,4.60647
53619,Blcap,19.3704,11.333,18.6506,51.4379,59.9743,57.6972,22.5554,22.1344,38.9897,17.4901,18.6907,12.1367,30.2135,33.7051,12.9668,9.50993,16.5138,15.1388,29.2982,24.979,20.5484,19.187,8.36461,7.38465,9.25846,22.9094,12.788,3.66234,4.29522,6.93483
12189,Brca1,0.487791,1.65679,0.0333214,1.9348,1.24519,0.690452,2.75339,5.72093,0.262939,0.0689021,0.21234,0.127719,0.161692,0.0926568,4.40859,0.123489,0.038819,0.662165,0.13177,0.256702,0.198733,0.140309,0.0428213,0.404355,1.15585,0.0178506,0.0614006,5.8619,4.80756,2.13434
12190,Brca2,0.268564,1.52157,0.11264,0.896516,0.706901,0.619166,1.07497,1.98011,0.199626,0.109881,0.0963644,0.0796607,0.68794,0.120262,0.627956,0.0694454,0.122219,0.18179,0.172993,0.579914,0.336821,0.517319,0.058594,0.23007,0.383016,0.101121,0.188617,1.56673,1.30874,0.744037
107392,Brms1,10.4343,61.2008,10.3282,10.035,7.94988,5.91793,7.41548,13.9129,7.78048,11.6891,15.0638,15.0406,4.54676,9.49032,11.8914,10.3884,10.3034,14.5342,8.80807,6.69999,8.51729,6.6119,31.1662,12.7467,13.1862,4.258,6.19174,9.25644,9.20227,5.98425
52592,Brms1l,4.699,4.84044,2.7909,20.6358,17.3271,23.1701,16.9178,17.9597,5.51068,5.5367,1.60508,0.637335,19.0656,4.62203,13.7788,0.450134,4.407,2.44387,5.15254,20.6381,11.741,17.4158,1.01614,2.55517,4.86677,5.63813,0.91131,8.25693,7.04282,4.63865
71213,Cage1,0.249371,17.1386,0.219021,0.350007,0.292529,0.365873,0.142831,0.233747,0.107883,0.194147,0.156997,0.066305,0.149396,0.1304,0.0702946,0.0516366,0.115784,0.0789944,0.436025,0.36425,0.320972,0.391657,0.0573062,0.12631,0.0812247,0.0712397,0.0469948,0.096175,0.0906791,0.0719654
320662,Casc1,0.805379,5.22015,0.0198454,0.234766,0.211103,0.195666,0.137792,0.228024,0.236089,1.09474,1.19638,0.0160698,0.159408,1.49142,0.136115,0.0328854,0.0716813,0.51061,0.557273,0.175195,0.220556,0.154225,0.0272152,4.68083,0.345109,0.329636,0.0988273,0.0747216,0.364243,0.0532777
192160,Casc3,16.2961,10.6874,15.634,23.9098,21.0436,16.5218,18.6731,21.936,11.4614,17.5273,14.8141,10.5868,14.1976,16.3137,8.90919,8.04747,9.36984,10.5757,9.11827,11.9985,10.4146,10.8049,9.72783,16.019,23.7954,7.24675,5.20217,9.0664,9.33584,6.07644
